Order ,Parent Cell,Daughter Cell A,Daughter Cell B,Append
1,P0,P1,AB,0
2,AB,ABp,ABa,0
3,P1,EMS,P2,0
4,ABa,ABar,ABal,0
5,ABp,ABpr,ABpl,0
6,P2,P3,C,0
7,EMS,MS,E,0
8,ABal,ABalp,ABala,0
9,ABar,ABarp,ABara,0
10,ABpl,ABplp,ABpla,0
11,ABpr,ABprp,ABpra,0
12,C,Cp,Ca,0
13,P3,P4,D,0
14,E,Ep,Ea,0
15,MS,MSp,MSa,0
16,ABala,ABalap,ABalaa,0
17,ABalp,ABalpp,ABalpa,0
18,ABara,ABarap,ABaraa,0
19,ABarp,ABarpp,ABarpa,0
20,ABpla,ABplap,ABplaa,0
21,ABplp,ABplpp,ABplpa,0
22,ABpra,ABprap,ABpraa,0
23,ABprp,ABprpp,ABprpa,0
24,Ca,Cap,Caa,0
25,Cp,Cpp,Cpa,0
26,D,Dp,Da,0
27,Ea,Ear,Eal,0
28,Ep,Epr,Epl,0
29,MSa,MSap,MSaa,0
30,MSp,MSpp,MSpa,0
31,ABalaa,ABalaap,ABalaaa,0
32,ABalap,ABalapp,ABalapa,0
33,ABalpa,ABalpap,ABalpaa,0
34,ABalpp,ABalppp,ABalppa,0
35,ABaraa,ABaraap,ABaraaa,0
36,ABarap,ABarapp,ABarapa,0
37,ABarpa,ABarpap,ABarpaa,0
38,ABarpp,ABarppp,ABarppa,0
39,ABplaa,ABplaap,ABplaaa,0
40,ABplap,ABplapp,ABplapa,0
41,ABplpa,ABplpap,ABplpaa,0
42,ABplpp,ABplppp,ABplppa,0
